ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,7821,2.89,"[J5, J6, J2, J1, J10, J4, J3, J7, J9, J8]"
2,43,7822,2.97,"[J4, J5, J1, J6, J3, J2, J9, J7, J10, J8]"
3,44,7821,3.52,"[J5, J3, J1, J6, J10, J2, J4, J7, J9, J8]"
4,45,7843,3.20,"[J4, J1, J10, J9, J6, J5, J2, J7, J3, J8]"
5,46,7720,2.91,"[J4, J5, J2, J1, J3, J8, J6, J10, J9, J7]"
6,47,8076,2.89,"[J1, J3, J6, J2, J4, J10, J9, J8, J7, J5]"
7,48,7868,2.97,"[J4, J3, J5, J7, J2, J6, J1, J10, J9, J8]"
8,49,8047,3.17,"[J3, J1, J2, J6, J10, J9, J4, J5, J8, J7]"
9,50,7821,3.00,"[J4, J5, J1, J6, J10, J2, J3, J7, J9, J8]"
10,51,7821,2.98,"[J4, J5, J1, J10, J6, J2, J3, J7, J9, J8]"
