ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,7821,3.05,"[J5, J3, J4, J1, J10, J6, J2, J7, J9, J8]"
2,43,7738,2.77,"[J6, J2, J4, J1, J3, J8, J10, J9, J7, J5]"
3,44,7786,2.85,"[J3, J1, J10, J2, J4, J8, J6, J9, J7, J5]"
4,45,7838,2.91,"[J4, J5, J7, J3, J6, J2, J1, J10, J9, J8]"
5,46,8047,2.92,"[J5, J4, J2, J6, J1, J10, J9, J3, J8, J7]"
6,47,7738,3.05,"[J6, J2, J4, J1, J3, J8, J10, J9, J7, J5]"
7,48,7720,2.84,"[J4, J5, J2, J1, J3, J8, J6, J10, J9, J7]"
8,49,7838,2.77,"[J5, J4, J7, J3, J6, J2, J1, J10, J9, J8]"
9,50,7767,2.90,"[J4, J5, J3, J1, J10, J2, J8, J6, J9, J7]"
10,51,7862,5.78,"[J3, J1, J4, J6, J10, J9, J2, J5, J7, J8]"
