ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,8046,2.95,"[J6, J4, J2, J1, J3, J7, J9, J10, J5, J8]"
2,43,7821,3.00,"[J4, J5, J1, J6, J10, J2, J3, J7, J9, J8]"
3,44,7720,3.19,"[J5, J2, J4, J1, J3, J8, J6, J10, J9, J7]"
4,45,7835,3.01,"[J4, J1, J3, J6, J2, J5, J7, J10, J9, J8]"
5,46,8047,5.73,"[J1, J4, J9, J6, J10, J2, J3, J5, J8, J7]"
6,47,7821,5.71,"[J5, J3, J1, J10, J6, J4, J2, J7, J9, J8]"
7,48,7824,2.83,"[J5, J6, J2, J4, J1, J9, J7, J10, J3, J8]"
8,49,7738,2.81,"[J6, J4, J2, J1, J3, J8, J10, J9, J7, J5]"
9,50,7821,2.80,"[J3, J5, J4, J1, J6, J10, J2, J7, J9, J8]"
10,51,7821,2.74,"[J5, J6, J4, J3, J1, J7, J10, J2, J9, J8]"
