ejecucion,semilla,makespan,tiempo_ms,secuencia
1,42,1268,3.76,"[J6, J9, J17, J2, J1, J18, J4, J15, J20, J13, J14, J12, J11, J16, J10, J3, J7, J8, J5, J19]"
2,43,1326,3.61,"[J6, J15, J9, J7, J13, J18, J4, J1, J5, J14, J19, J3, J17, J20, J2, J11, J12, J16, J8, J10]"
3,44,1260,3.75,"[J6, J9, J2, J20, J17, J13, J4, J15, J3, J7, J11, J18, J14, J8, J1, J5, J12, J16, J19, J10]"
4,45,1326,3.67,"[J1, J9, J7, J14, J15, J3, J11, J2, J17, J4, J13, J18, J19, J20, J6, J8, J16, J10, J12, J5]"
5,46,1249,6.45,"[J6, J9, J17, J15, J20, J2, J13, J14, J12, J1, J7, J11, J16, J18, J3, J4, J8, J5, J19, J10]"
6,47,1249,3.78,"[J6, J9, J17, J15, J20, J2, J13, J1, J4, J18, J14, J12, J3, J7, J11, J5, J8, J16, J19, J10]"
7,48,1308,3.53,"[J6, J17, J11, J9, J14, J2, J1, J7, J15, J3, J18, J13, J16, J12, J19, J4, J20, J5, J8, J10]"
8,49,1280,3.58,"[J6, J2, J9, J15, J4, J13, J20, J17, J1, J18, J7, J3, J11, J10, J14, J12, J19, J16, J8, J5]"
9,50,1326,3.71,"[J1, J9, J2, J14, J11, J15, J18, J6, J7, J4, J13, J5, J3, J17, J20, J16, J10, J8, J12, J19]"
10,51,1255,3.58,"[J6, J9, J2, J20, J17, J15, J13, J4, J11, J12, J18, J10, J14, J1, J7, J3, J8, J5, J19, J16]"
